timestamp,state,concentration,mellow,gamma_activity,alpha,beta,theta,delta,gamma,signal_quality,gyro_y,gyro_z,acc_x,acc_y,acc_z,blink,jaw_clench,nod,shake,robot_action,room_index,room_title,escape_room_name,module_type,temi_speaking
1779969106138,NEUTRAL,0.2497931,0.25899997,0.22126552,0.21719326,0.20304716,0.28478178,0.49049884,0.1730027,1.5,-4.3440247,-1.2785339,0.06567383,0.04650879,1.0085449,1,1,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,0
1779969106384,NEUTRAL,0.24786396,0.25532764,0.22101277,0.1963086,0.19305505,0.2697191,0.50084805,0.17356864,1.5,-1.3832092,7.005768,0.06958008,0.040283203,1.019104,0,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,0
1779969106634,NEUTRAL,0.24631725,0.25262505,0.22206847,0.19255173,0.19168358,0.25607967,0.5122132,0.17641622,1.5,-4.1870117,-2.0187378,0.049865723,0.064819336,1.0076904,1,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,0
1779969106884,NEUTRAL,0.24439831,0.2499196,0.22406888,0.19255173,0.19168358,0.25607967,0.5122132,0.17641622,1.5,-6.2356567,-1.7196655,0.081970215,0.097595215,1.0048828,0,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,0
1779969107135,NEUTRAL,0.24278314,0.24809492,0.22610943,0.19255173,0.19168358,0.25607967,0.5122132,0.17641622,1.5,-4.1870117,3.7234497,0.13690186,0.043395996,1.0045166,0,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969107384,NEUTRAL,0.24137332,0.246197,0.22801629,0.19255173,0.19168358,0.25607967,0.5122132,0.17641622,1.5,3.4468079,-5.3533936,0.06365967,0.08770752,1.0397339,1,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969107635,NEUTRAL,0.24134415,0.24458446,0.22923215,0.19255173,0.19168358,0.25607967,0.5122132,0.17641622,1.5,-0.5308533,4.6655273,0.062561035,0.079589844,0.98272705,0,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969107884,NEUTRAL,0.24142063,0.24356687,0.2304642,0.19255173,0.19168358,0.25607967,0.5122132,0.17641622,1.5,1.3607788,-5.0842285,0.032104492,0.107299805,1.026001,0,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969108135,NEUTRAL,0.24158344,0.2436904,0.23146592,0.19255173,0.19168358,0.25607967,0.5122132,0.17641622,1.5,28.591309,2.594452,-0.09033203,0.14868164,1.0140991,0,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969108385,NEUTRAL,0.24442255,0.24721892,0.231379,0.23242542,0.20903951,0.13582173,0.48307803,0.12867297,1.5,10.983429,-10.30304,-0.13659668,0.06915283,0.96325684,1,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969108634,NEUTRAL,0.24621378,0.25139338,0.2306038,0.25130367,0.20078912,0.16531728,0.50454617,0.12411177,1.5,5.3982544,-5.988922,-0.1776123,0.1239624,1.0842896,0,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969108885,NEUTRAL,0.2451466,0.2544459,0.22758137,0.2710582,0.1965846,0.3083695,0.3714825,0.13562383,2.0,6.8637085,-77.2728,-0.22149658,0.03845215,0.9751587,0,1,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969109134,NEUTRAL,0.24390796,0.25745943,0.22416884,0.2710582,0.1965846,0.3083695,0.3714825,0.13562383,2.0,-13.55545,-11.417084,-0.0927124,-0.037231445,1.0037842,0,1,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969109385,NEUTRAL,0.24266931,0.26047292,0.22075632,0.2710582,0.1965846,0.3083695,0.3714825,0.13562383,2.0,-6.886139,65.72113,-0.12792969,-0.030273438,0.99645996,0,1,0,1,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969109634,NEUTRAL,0.24130747,0.26346192,0.21737908,0.2710582,0.19464155,0.3103988,0.37531722,0.13678062,2.0,-9.80957,42.528076,-0.1473999,0.0848999,0.9967041,0,1,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969109884,NEUTRAL,0.23924746,0.26621476,0.21362618,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,2.0,-15.357361,3.6187744,-0.062927246,0.20831299,0.99890137,0,1,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969110135,NEUTRAL,0.23718745,0.26896763,0.20987326,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,2.5,-19.297638,-11.304932,-0.031982422,0.19226074,1.0097656,0,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969110384,NEUTRAL,0.23512743,0.2717205,0.20612036,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,2.5,-23.686523,-20.404205,0.103637695,0.11212158,0.9972534,1,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969110634,NEUTRAL,0.23306742,0.27447337,0.20236745,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,2.0,-0.25421143,-8.8974,0.17584229,-0.037353516,0.9849243,0,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969110884,NEUTRAL,0.22843564,0.2732202,0.19973348,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,2.5,-1.5776062,2.9682922,0.15179443,-0.050476074,1.0053711,1,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969111134,NEUTRAL,0.22485176,0.27132112,0.1977878,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,2.5,-9.891815,-5.869293,0.18823242,-0.041809082,0.98010254,0,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969111384,NEUTRAL,0.22403039,0.27106047,0.19744742,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,2.5,-4.142151,2.1009827,0.17382812,-0.03289795,0.993103,0,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969111634,NEUTRAL,0.22320902,0.27079982,0.19710703,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,2.5,-2.3103333,22.138824,0.22393799,-0.034606934,0.9519043,1,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969111890,NEUTRAL,0.22238766,0.2705392,0.19676664,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,2.5,-15.29007,22.677155,0.18737793,0.08630371,0.9829712,0,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969112134,NEUTRAL,0.22168948,0.27030307,0.19639097,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,2.5,-40.068207,8.658142,0.39624023,0.117004395,0.9210205,1,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969112384,NEUTRAL,0.22168948,0.27030307,0.19639097,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,2.5,14.5199585,3.5664368,0.43225098,0.054382324,0.9312744,0,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969112635,NEUTRAL,0.22168948,0.27030307,0.19639097,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,2.5,-0.9121704,4.4187927,0.41271973,0.101379395,0.92285156,0,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969112885,NEUTRAL,0.22168948,0.27030307,0.19639097,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,2.5,-3.6935425,-1.4654541,0.37945557,0.08074951,0.9439697,1,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969113134,NEUTRAL,0.22168948,0.27030307,0.19639097,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,2.5,-2.8486633,-0.13458252,0.3928833,0.06500244,0.91101074,0,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969113384,NEUTRAL,0.22168948,0.27030307,0.19639097,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,2.0,-3.5514832,-2.8860474,0.38690186,0.06365967,0.93133545,0,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969113635,NEUTRAL,0.22168948,0.27030307,0.19639097,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,2.5,-3.5440063,5.301056,0.43621826,0.09655762,0.9550171,1,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969113885,NEUTRAL,0.22168948,0.27030307,0.19639097,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,2.5,-4.874878,3.6486816,0.4179077,0.05206299,0.9111328,0,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969114134,NEUTRAL,0.22168948,0.27030307,0.19639097,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,2.5,11.013336,-3.8505554,0.4055786,0.0803833,0.9637451,0,1,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969114384,NEUTRAL,0.22168948,0.27030307,0.19639097,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,3.25,6.5571594,3.902893,0.3704834,0.08831787,0.9215698,0,1,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969114650,NEUTRAL,0.22168948,0.27030307,0.19639097,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,2.75,1.4729309,-4.6131897,0.32159424,0.047424316,0.9529419,0,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969114884,NEUTRAL,0.22168948,0.27030307,0.19639097,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,2.75,5.5552673,-5.7720947,0.34466553,0.06640625,0.93481445,0,1,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969115135,NEUTRAL,0.22168948,0.27030307,0.19639097,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,2.5,7.880554,-6.8711853,0.31463623,0.114868164,0.9273071,0,1,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969115385,NEUTRAL,0.22168948,0.27030307,0.19639097,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,2.5,39.514923,-14.176025,0.2189331,0.1027832,0.9851074,0,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969115634,NEUTRAL,0.22168948,0.27030307,0.19639097,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,2.0,30.288544,2.6243591,0.05999756,0.10406494,0.9315796,0,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969115885,NEUTRAL,0.22168948,0.27030307,0.19639097,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,1.5,13.405914,-9.62265,-0.18597412,0.077941895,0.9915161,0,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969116135,NEUTRAL,0.22168948,0.27030307,0.19639097,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,2.5,-0.50842285,-0.7626343,-0.13641357,0.08959961,1.0143433,1,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
1779969116385,NEUTRAL,0.22168948,0.27030307,0.19639097,0.2710582,0.18495229,0.33282766,0.3959451,0.13232873,2.5,11.23764,-2.2280884,-0.14105225,0.055725098,0.9767456,0,0,0,0,"Neutral — sin seguimiento",1,"Nave en Deriva","Aventura Espacial",CalmModule,1
