timestamp,state,concentration,mellow,gamma_activity,alpha,beta,theta,delta,gamma,signal_quality,gyro_y,gyro_z,acc_x,acc_y,acc_z,blink,jaw_clench,nod,shake,robot_action,room_index,room_title,escape_room_name,module_type,temi_speaking
1779966118041,NEUTRAL,0.2636712,0.23528214,0.1866536,0.3883027,0.5161771,0.42203388,0.5308477,0.39485562,1.5,-1.315918,-0.28411865,0.15655518,-0.046875,1.0028687,1,1,1,1,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,0
1779966118291,NEUTRAL,0.27197397,0.22912969,0.19541441,0.360194,0.5171297,0.38902223,0.5500816,0.39598975,1.5,-1.8841553,1.1663818,0.14001465,-0.055358887,0.9891968,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,0
1779966118541,NEUTRAL,0.2807315,0.22393851,0.20400475,0.3427943,0.51231223,0.37664664,0.53371966,0.38524342,1.5,-2.355194,3.1626892,0.15893555,-0.03277588,1.0090332,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,0
1779966118791,NEUTRAL,0.28864112,0.22022332,0.21185422,0.35781187,0.50730956,0.38956854,0.5379264,0.38053313,1.5,-3.1402588,3.4094238,0.16558838,-0.058532715,0.9904175,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,0
1779966119041,NEUTRAL,0.2952244,0.2204512,0.21819296,0.37728122,0.5193314,0.3660554,0.54354805,0.3867696,1.5,-2.66922,-1.4430237,0.14453125,0.003112793,1.0,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779966119291,NEUTRAL,0.3013347,0.22400934,0.22396211,0.44313455,0.5327715,0.33678347,0.5700184,0.3944568,1.5,-3.8879395,-1.5327454,0.1774292,-0.0345459,0.989624,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779966119541,NEUTRAL,0.30840835,0.22698286,0.23041722,0.39720595,0.5374341,0.30588424,0.5850707,0.39375073,1.5,-1.3383484,1.8093872,0.16998291,-0.026611328,1.0032959,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779966119791,NEUTRAL,0.31243822,0.22833721,0.23154382,0.37889805,0.5359952,0.31782088,0.57107925,0.3924261,1.5,-2.549591,-10.445099,0.12243652,-0.020507812,1.0112915,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779966120042,NEUTRAL,0.31663868,0.22900122,0.23318283,0.38072115,0.5499819,0.33251515,0.5939143,0.40239242,1.5,-4.80011,6.2431335,0.18713379,-0.074157715,0.9935303,1,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779966120291,NEUTRAL,0.32138032,0.22817281,0.23479988,0.37615582,0.5636246,0.30975664,0.58375275,0.40505645,1.5,0.17196655,-0.84487915,0.16778564,0.17108154,1.0200195,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779966120544,NEUTRAL,0.3262423,0.2279871,0.23586585,0.3712445,0.56745315,0.2917686,0.5929419,0.40117377,1.5,-2.5570679,-3.5813904,0.12182617,0.08288574,0.98291016,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779966120802,NEUTRAL,0.32927018,0.22870055,0.2356828,0.36611798,0.5491984,0.30892357,0.6047428,0.38454732,1.5,-6.95343,-6.57959,0.2175293,-0.09057617,0.9765625,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779966121041,NEUTRAL,0.33200866,0.22733779,0.23595336,0.31111717,0.5451249,0.34149554,0.58505416,0.38700685,1.5,-1.7495728,0.83740234,0.18988037,-0.066833496,0.9863281,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779966121291,NEUTRAL,0.33594644,0.22406112,0.23721766,0.2844119,0.5556831,0.3493181,0.62006533,0.40012753,1.5,-4.0075684,0.5383301,0.18493652,-0.05670166,0.9804077,0,0,0,0,"Neutral — sin seguimiento",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779966121541,STRESS,0.3390042,0.21890128,0.23906349,0.27077118,0.5642473,0.37588352,0.6540907,0.4247071,1.5,-3.6262512,2.0336914,0.20275879,-0.07312012,0.9875488,0,0,0,0,"Modo calma activado",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779966121791,STRESS,0.34205592,0.21211806,0.24084577,0.301457,0.5649743,0.3691014,0.64150643,0.41903198,1.5,-2.9458618,-4.089813,0.21417236,-0.05419922,0.9868164,0,0,0,0,"Modo calma activado",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779966122041,STRESS,0.34356043,0.20740427,0.24138708,0.3094564,0.5644334,0.36957055,0.62650186,0.41119784,1.5,-2.4449158,0.10467529,0.21820068,-0.06817627,0.98498535,0,0,0,0,"Modo calma activado",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779966122292,STRESS,0.33504087,0.20556878,0.23873082,0.390104,0.4540357,0.5823732,0.7349102,0.3882355,1.5,-2.2355652,-2.168274,0.20404053,-0.076049805,0.9848633,0,0,0,0,"Modo calma activado",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779966122541,STRESS,0.32627976,0.20464802,0.23610045,0.39024708,0.4453766,0.5665059,0.687197,0.37903664,1.5,0.695343,2.7215576,0.20733643,-0.081604004,0.98065186,0,0,0,0,"Modo calma activado",1,"El Grimorio","El Castillo Encantado",MorseModule,1
1779966122791,STRESS,0.31608787,0.20556372,0.23300274,0.42397186,0.44181505,0.55607224,0.6719311,0.37524992,1.5,-1.3981628,4.942169,0.19378662,-0.06512451,0.98828125,0,0,0,0,"Modo calma activado",1,"El Grimorio","El Castillo Encantado",MorseModule,1
