timestamp,state,concentration,mellow,gamma_activity,alpha,beta,theta,delta,gamma,signal_quality,gyro_y,gyro_z,acc_x,acc_y,acc_z,blink,jaw_clench,nod,shake,robot_action,room_index,room_title,escape_room_name,module_type,temi_speaking
1779962250426,NEUTRAL,0.3210311,0.3347688,0.0,0.07816284,0.11840286,0.10253341,0.52175546,-0.06005234,1.5,-3.3047485,-3.5813904,0.12677002,0.016174316,1.0002441,1,1,0,0,"Neutral — sin seguimiento",-1,"","El Laboratorio del Dr. Mente",,0
1779962250676,NEUTRAL,0.32026213,0.33662775,0.0,0.25125855,0.11440249,0.22100092,0.61717385,-0.04392537,1.5,4.2019653,-0.06729126,0.13232422,-0.010131836,1.0080566,0,0,0,0,"Neutral — sin seguimiento",-1,"","El Laboratorio del Dr. Mente",,0
1779962250926,NEUTRAL,0.31972745,0.33925888,0.0,0.26852268,0.123662256,0.21675187,0.5866412,-0.06254183,1.5,7.267456,8.411407,0.07562256,0.08154297,1.0015869,0,0,0,0,"Neutral — sin seguimiento",-1,"","El Laboratorio del Dr. Mente",,0
1779962251176,NEUTRAL,0.31705996,0.34433585,0.0,0.26852268,0.09147079,0.18118681,0.5441203,-0.082764044,1.5,3.4468079,11.282501,-0.007873535,0.090270996,1.0068359,0,0,0,0,"Neutral — sin seguimiento",-1,"","El Laboratorio del Dr. Mente",,0
1779962251426,NEUTRAL,0.31229234,0.35057852,0.0,0.27366522,0.06989484,0.1816074,0.5203246,-0.095772065,1.5,-1.2187195,-1.6523743,-0.04510498,0.06549072,1.0039062,0,0,0,0,"Neutral — sin seguimiento",-1,"","El Laboratorio del Dr. Mente",,0
1779962251677,NEUTRAL,0.30682606,0.3566907,0.0,0.27971715,0.07548728,0.1939282,0.51984996,-0.09794042,1.5,-3.7234497,-11.671295,0.023254395,0.056762695,1.005127,0,0,0,0,"Neutral — sin seguimiento",-1,"","El Laboratorio del Dr. Mente",,0
1779962251926,NEUTRAL,0.29783186,0.3646932,0.0,0.26602083,0.07852591,0.20528637,0.5180059,-0.099764735,1.5,-2.0635986,-0.93460083,0.032226562,0.07745361,1.0083008,1,0,0,0,"Neutral — sin seguimiento",-1,"","El Laboratorio del Dr. Mente",,0
1779962252177,NEUTRAL,0.28732508,0.36921328,0.0,0.22156562,0.04768188,0.25939423,0.51568544,-0.1251151,1.5,-4.0748596,1.2112427,-0.016296387,0.101135254,1.0126343,0,0,0,0,"Neutral — sin seguimiento",-1,"","El Laboratorio del Dr. Mente",,0
1779962252426,NEUTRAL,0.27552944,0.36999458,0.0,0.13964574,-0.010617617,0.27680907,0.51334184,-0.14823364,1.5,-3.2000732,-1.1289978,-0.0036621094,0.101745605,1.0053711,0,0,0,0,"Neutral — sin seguimiento",-1,"","El Laboratorio del Dr. Mente",,0
1779962252676,NEUTRAL,0.26358062,0.36762345,0.0,0.10942006,5.927632E-4,0.32201597,0.561998,-0.1413304,1.5,-4.4487,-3.1626892,-0.0061035156,0.072631836,0.99975586,0,0,0,0,"Neutral — sin seguimiento",-1,"","El Laboratorio del Dr. Mente",,0
