timestamp,state,concentration,mellow,alpha,beta,theta,delta,gamma,signal_quality,gyro_y,gyro_z,acc_x,acc_y,acc_z,blink,jaw_clench,nod,shake,robot_action,room_index,room_title
1778504651280,NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-5.2786255,2.2355652,0.20007324,-0.026794434,1.0042725,1,1,1,1,"Neutral — sin seguimiento",-1,""
1778504651529,NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,6.729126,-2.160797,0.17163086,0.012512207,0.9793701,1,0,0,0,"Neutral — sin seguimiento",-1,""
1778504651779,NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,5.188904,-18.901367,0.078186035,0.021911621,1.0075684,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504652029,NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,10.534821,0.96450806,0.09094238,-0.13873291,0.94781494,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504652279,NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,6.190796,-11.289978,-0.035217285,-0.119140625,0.9783325,0,1,0,0,"Neutral — sin seguimiento",-1,""
1778504652529,NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-6.0935974,-1.8019104,-0.060424805,-0.11828613,0.99072266,0,1,0,0,"Neutral — sin seguimiento",-1,""
1778504652779,NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.715973,-22.138824,-0.05834961,-0.08746338,1.0406494,0,0,0,0,"Neutral — sin seguimiento",-1,""
1778504653029,NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-7.775879,-176.87881,-0.020629883,0.14691162,0.9813843,0,1,0,0,"Neutral — sin seguimiento",-1,""
1778504653279,NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.4598694,-63.164062,0.031555176,0.19433594,1.0706177,0,1,0,0,"Neutral — sin seguimiento",-1,""
1778504653529,NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.7645264,9.929199,-0.010620117,0.030517578,0.9412842,0,1,0,0,"Neutral — sin seguimiento",-1,""
1778504653779,NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,-0.3439331,23.581848,-0.009277344,0.003967285,0.9545288,0,1,0,0,"Neutral — sin seguimiento",-1,""
1778504654029,NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,-0.15701294,20.11261,0.022949219,0.06323242,1.0186768,0,1,0,0,"Neutral — sin seguimiento",-1,""
1778504654279,NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,-6.265564,112.75772,0.091430664,0.2175293,1.0412598,0,1,0,0,"Neutral — sin seguimiento",-1,""
1778504654529,NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,6.9085693,114.74655,-0.16369629,0.033203125,0.9984131,0,1,0,0,"Neutral — sin seguimiento",-1,""
1778504654779,NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.9291077,15.843353,-0.03765869,-0.020324707,1.0500488,0,1,0,0,"Neutral — sin seguimiento",-1,""
1778504655029,NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.6674194,6.57959,-0.0045776367,-0.08459473,0.97216797,0,1,0,0,"Neutral — sin seguimiento",-1,""
1778504655279,NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,-1.6523743,-25.2417,0.07867432,-0.04663086,0.99713135,0,1,0,0,"Neutral — sin seguimiento",-1,""
1778504655529,NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,-6.22818,5.8992004,0.022705078,0.047668457,1.0258179,0,1,0,0,"Neutral — sin seguimiento",-1,""
1778504655779,NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-14.116211,7.3197937,0.06341553,0.032958984,1.017273,0,1,0,0,"Neutral — sin seguimiento",-1,""
1778504656038,NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-3.828125,1.585083,0.07849121,0.0037841797,0.99609375,0,0,0,0,"Neutral — sin seguimiento",-1,""
