# temi_eeg_session v2
# rows=1268
# app_version=0.1.0
# device=temi rk3399-Android11-temiV3 (Temi)
# level=El Escape Clásico
# connection=BLUETOOTH
# started_at=2026-09-07 13:44:58
# threshold_stress=0.22
# threshold_attention=0.24
# threshold_calm=0.28
# threshold_gamma=0.15
# blink_debounce_ms=500
# threshold_nod=48.0
# threshold_shake=109.0
timestamp,elapsed_ms,state,concentration,mellow,gamma_activity,alpha,beta,theta,delta,gamma,signal_quality,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,blink,jaw_clench,nod,shake,battery,noise,robot_action,room_index,room_title,escape_room_name,module_type,temi_speaking,event,event_detail
1788781498381,0,NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,-1,"",-1,"","",,0,GAME_START,"El Escape Clásico"
1788781498583,202,CALM,0.21897501,0.2951739,0.108737394,0.57004315,0.44491166,0.6199077,0.7844711,0.21753608,2.0,0.029907227,-3.0879211,-0.7626343,-0.019592285,-0.021240234,1.0092163,1,1,0,0,45,-1,"Estado relajado — listo para interactuar",-1,"","El Escape Clásico",,0,,""
1788781498833,452,CALM,0.22062375,0.29670167,0.11234321,0.57004315,0.44491166,0.6199077,0.7844711,0.21753608,2.0,-0.06729126,-1.6822815,-0.42617798,-0.025146484,-0.024047852,1.010315,0,1,0,0,45,-1,"Estado relajado — listo para interactuar",-1,"","El Escape Clásico",,0,,""
1788781499084,703,CALM,0.22232337,0.29788506,0.11584279,0.57004315,0.44491166,0.6199077,0.7844711,0.21753608,2.0,-0.25421143,-1.9888306,-0.96450806,-0.020507812,-0.024230957,1.0109253,0,1,0,0,45,-1,"Estado relajado — listo para interactuar",-1,"","El Escape Clásico",,0,,""
1788781499137,756,CALM,0.22232337,0.29788506,0.11584279,0.57004315,0.44491166,0.6199077,0.7844711,0.21753608,2.0,-0.25421143,-1.9888306,-0.96450806,-0.020507812,-0.024230957,1.0109253,0,0,0,0,45,-1,"Estado relajado — listo para interactuar",-1,"","El Escape Clásico",,0,ROOM_START,"1/6 Ante la mazmorra"
1788781499333,952,CALM,0.22396238,0.29909194,0.11923918,0.57004315,0.44491166,0.6199077,0.7844711,0.21753608,2.0,-0.97198486,1.8617249,-2.6841736,-0.020446777,-0.028564453,1.0119629,0,1,0,0,45,-1,"Estado relajado — listo para interactuar",1,"Ante la mazmorra","El Escape Clásico",RobotAnimModule,0,,""
1788781499583,1202,CALM,0.22522269,0.2999174,0.12242413,0.57004315,0.44491166,0.6199077,0.7844711,0.21753608,2.0,-1.77948,3.8356018,-2.631836,-0.064453125,-0.04071045,1.0005493,0,1,0,0,45,-1,"Estado relajado — listo para interactuar",1,"Ante la mazmorra","El Escape Clásico",RobotAnimModule,0,,""
1788781499833,1452,CALM,0.22540084,0.30025756,0.1247298,0.57004315,0.44491166,0.6199077,0.7844711,0.21753608,2.0,0.8149719,-2.9533386,0.47103882,-0.089904785,-0.05126953,0.9940796,0,1,0,0,45,-1,"Estado relajado — listo para interactuar",1,"Ante la mazmorra","El Escape Clásico",RobotAnimModule,0,,""
1788781500085,1704,CALM,0.22557896,0.30059776,0.12703547,0.57004315,0.44491166,0.6199077,0.7844711,0.21753608,2.0,0.17196655,-5.7048035,0.47851562,-0.061767578,-0.0423584,1.005127,0,1,0,0,45,-1,"Estado relajado — listo para interactuar",1,"Ante la mazmorra","El Escape Clásico",RobotAnimModule,0,,""
1788781500150,1769,CALM,0.22557896,0.30059776,0.12703547,0.57004315,0.44491166,0.6199077,0.7844711,0.21753608,2.0,0.17196655,-5.7048035,0.47851562,-0.061767578,-0.0423584,1.005127,0,0,0,0,45,-1,"Estado relajado — listo para interactuar",1,"Ante la mazmorra","El Escape Clásico",RobotAnimModule,0,TTS_START,""
